x,y,z,Class
-16.62,-56.4,-31.99,roll
17.63,-41.47,14.3,roll
23.07,-34.55,16.46,roll
-8.84,59.54,12.08,roll
-41.18,54.6,-13.08,roll
-94.09,250.13,13.64,roll
-53.12,250.13,24.81,roll
1.22,92.38,-37.27,roll
37.37,-163.6,23.56,roll
107.39,-250.14,-12.95,roll
19.49,-250.14,-9.51,roll
-15.08,-25.31,31.74,roll
-8.79,93.59,45.5,roll
-33.21,250.13,69.47,roll
-63.6,250.13,50.15,roll
-16.01,250.13,60.89,roll
8.29,36.33,19.97,roll
43.52,-225.31,-2.75,roll
30.63,-250.14,5.02,roll
4.54,-250.14,-21.69,roll
12.85,-250.14,-30.34,roll
31.69,-250.14,-56.69,roll
25.08,-4.27,11.05,roll
-13.43,204.98,30.08,roll
-45.08,250.13,33.02,roll
-88.47,250.13,53.03,roll
-52.27,250.13,4.53,roll
22.47,113.28,1.02,roll
65.57,-250.14,14.89,roll
29.1,-250.14,-2.21,roll
10.18,-250.14,-32.16,roll
38.02,-250.14,-29.43,roll
-8.85,-67.34,-12.77,roll
-44.56,250.13,33.1,roll
-26.01,250.13,30.27,roll
-84.05,250.13,68.53,roll
-22.7,250.13,23.6,roll
2.2,24.12,10.23,roll
54.55,-250.14,-14.66,roll
-9.7,-250.14,-27.41,roll
60.95,-250.14,-48.5,roll
52.16,-250.14,-52.89,roll
-11.01,-65.13,-24.53,roll
-28.07,174.31,25.87,roll
-58.37,250.13,34.68,roll
-99.08,250.13,60.24,roll
-51.53,250.13,55.47,roll
22.14,22.77,12.76,roll
50.17,-250.14,-4.72,roll
4.31,-250.14,-12.56,roll
30.52,-250.14,-44.83,roll
52.34,-250.14,-41.96,roll
7.04,-106.24,-15.29,roll
-19.2,95.71,8.89,roll
-51.99,250.13,33.52,roll
-51.55,250.13,52.63,roll
-60.79,250.13,50.93,roll
-16.58,250.13,46.51,roll
3.15,77.08,1.16,roll
49.21,-250.14,-9.66,roll
-6.82,-250.14,-10.55,roll
16.18,-250.14,-45.45,roll
65.02,-250.14,-99.93,roll
17.67,61.14,11.18,roll
-12.07,125.05,10.53,roll
-65.13,250.13,29.36,roll
-79.34,250.13,69.89,roll
-27.34,250.13,65.11,roll
7.38,55.98,13.59,roll
19.17,-206.35,-8.71,roll
20.02,-250.14,-20.92,roll
42.57,-250.14,-39.21,roll
14.83,-250.14,-57.05,roll
34.53,-215.78,-54.52,roll
14.48,14.38,-2.41,roll
-28.59,250.13,51.31,roll
-64.02,250.13,95.55,roll
-13.86,250.13,60.5,roll
22.79,151.78,17.54,roll
-3.67,-65.5,-8.84,roll
13.63,-250.14,-7.19,roll
-42.27,-250.14,-25.82,roll
38.35,-250.14,-54.8,roll
39.18,-250.14,-55.66,roll
-5.94,-21.36,-6.27,roll
-9.61,157.27,6.37,roll
-87.78,250.13,64.57,roll
-88.85,250.13,124.8,roll
21.63,250.13,18.73,roll
-6.04,80.75,13.72,roll
37.93,-250.14,10.15,roll
35.11,-250.14,-16.53,roll
-37.16,-250.14,-45.69,roll
18.34,-250.14,-82.61,roll
10.84,-137.4,-26.93,roll
-2.95,138.66,29.06,roll
-60.85,250.13,66.31,roll
-101.11,250.13,130.49,roll
-2.76,250.13,42.29,roll
27.21,79.41,23.5,roll
13.47,-188.95,-0.73,roll
-9.74,-250.14,-32.47,roll
13.4,-250.14,-58.69,roll
20.63,-250.14,-100.67,roll
12.11,-116.25,-19.15,roll
15.14,33.76,-9.66,roll
-40.84,250.13,60.18,roll
-58.53,250.13,56.12,roll
-82.53,250.13,75.87,roll
-48.11,250.13,7.53,roll
-0.02,0.14,-7.54,roll
43.76,-250.14,-6.15,roll
25.9,-250.14,-35.57,roll
16.94,-250.14,-59.15,roll
37.85,-250.14,-91.33,roll
51.11,-42.87,-4.56,roll
-20.06,232.39,21.31,roll
-37.67,250.13,20.46,roll
-77.58,250.13,54.11,roll
-78.37,250.13,74.02,roll
-26.58,191.6,19.65,roll
12.52,49.36,16.35,roll
48.25,-250.14,-20.19,roll
18.95,-250.14,-41.24,roll
29.29,-250.14,-55.53,roll
73.72,-250.14,-69.66,roll
-15.92,0.48,-8.2,roll
-35.58,250.13,21.37,roll
-42.31,250.13,26.27,roll
-75.95,250.13,78.61,roll
-19.61,250.13,53.63,roll
4.94,71.69,-1.15,roll
23.43,-250.14,-20.59,roll
-0.36,-250.14,-36.19,roll
10.93,-250.14,-29.04,roll
41.94,-250.14,-58.91,roll
42.21,-250.14,-76.27,roll
-16.73,50.96,-6.05,roll
-27.6,250.13,55.86,roll
-38.56,250.13,45.39,roll
-51.25,250.13,67.98,roll
-35.42,250.13,46.81,roll
4.17,65.67,3.94,roll
23.17,-250.14,-29.44,roll
-10.7,-250.14,-42.76,roll
13.78,-250.14,-26.77,roll
4.85,-250.14,-34.42,roll
15.17,-121.82,-16.14,roll
0.27,175.6,22.92,roll
-115.68,250.13,60.37,roll
-6.44,250.05,-1.76,roll
18.82,174.79,31.18,roll
53.68,97.23,73.55,roll
32.53,-168.68,16.75,roll
-25.76,-250.14,-14.76,roll
-19.37,-250.14,-25.07,roll
16.02,-146.94,-11.44,roll
5.21,103.69,10.82,roll
-17.64,250.13,108.59,roll
-36.76,210.32,21.59,roll
-7.57,170.61,23.39,roll
71.03,99.73,-18.08,roll
62.61,-51.39,-0.18,roll
-33.32,-250.14,-13.67,roll
-30.64,-250.14,-49.88,roll
52.31,-159.36,-22.09,roll
45.12,-91.86,-39.22,roll
51.45,115.73,-25.82,roll
-42.39,250.13,24.9,roll
-16.79,250.13,-24.03,roll
15.28,246.95,-45.15,roll
-17.73,149.71,-21.42,roll
-38.53,-49.44,30.79,roll
29.59,-250.14,-21.37,roll
13.54,-250.14,-75.6,roll
53.4,-242.91,-36.08,roll
50.5,-140.08,-3.47,roll
67.76,197.38,63.25,roll
1.68,214.59,-25.1,roll
1.38,250.13,-74.9,roll
-107.1,224.51,-28.44,roll
-64.41,-38.27,53.26,roll
-27.3,-233.17,28.92,roll
-24.02,-250.14,-50.82,roll
30.82,-250.14,-87.03,roll
-9.64,-222.4,-81.42,roll
20.51,3.35,5.92,roll
26.3,234.94,53.95,roll
17.21,250.13,33.94,roll
-10.67,250.13,12.16,roll
-23.66,52.43,-18.5,roll
4.7,-88.42,-16.21,roll
2.36,-250.14,-56.56,roll
-46.75,-250.14,-114.96,roll
10.16,-147.43,-50.21,roll
-10.24,101.85,16.39,roll
34.93,250.13,52.66,roll
-3.42,250.13,83.53,roll
-40.76,250.13,39.25,roll
-22.38,169.75,-16.44,roll
-21.85,45.63,-7.65,roll
30.6,-250.14,-62.24,roll
12.06,-250.14,-30.53,roll
29.36,-250.14,-58.29,roll
54.56,-135.63,-4.85,roll
1.47,93.89,38.71,roll
-35.12,250.13,78.89,roll
-51.5,250.13,13.14,roll
-3.18,219.21,-13.37,roll
10.05,141.15,-5.41,roll
