x,y,z,Class
-7.69,-1.36,11.36,yaw
-30.78,4.69,15.44,yaw
10.56,-22.19,7.11,yaw
-108.45,-144.85,-44.07,yaw
128.12,64.82,100.16,yaw
8.69,60.67,250.13,yaw
-2.95,7.29,145.37,yaw
2.18,-0.95,-63.77,yaw
-21.55,-24.18,-250.14,yaw
-17.27,-29.19,-250.14,yaw
44.5,-3.4,-211.33,yaw
-50.05,-0.26,25.01,yaw
-43.69,118.65,250.13,yaw
46.12,-1.54,250.13,yaw
39.26,67.4,198.79,yaw
-43.86,42.11,116.33,yaw
17.11,-138.01,45.15,yaw
-37.46,-0.94,136.25,yaw
-77.53,-5.39,107.24,yaw
31.72,-41.9,-184.2,yaw
-53.38,37.02,-250.14,yaw
-13.7,-115.92,-250.14,yaw
7.18,71.75,-176.27,yaw
-2.39,49.19,119.63,yaw
-9.09,43.85,250.13,yaw
128.53,-27.78,250.13,yaw
-101.87,-46.88,123.45,yaw
81.54,16.26,-74.95,yaw
-79.56,120.18,-250.14,yaw
-73.66,-89.15,-250.14,yaw
-29.57,85.11,-111.43,yaw
-0.11,144.84,114.63,yaw
-88.59,-160.92,18.62,yaw
8.03,-22.11,130.02,yaw
25.1,-10.43,25.09,yaw
2.36,48.98,81.73,yaw
-42.17,83.25,250.13,yaw
-15.9,31.32,17.02,yaw
-46.85,-60.13,-250.14,yaw
-8.92,-136.77,-250.14,yaw
42.54,-80.11,-194.4,yaw
2.37,43.52,185.5,yaw
20.37,90.6,250.13,yaw
43.61,92.71,250.13,yaw
24.16,-66.64,250.13,yaw
-1.41,-51.62,67.81,yaw
-70.85,-24.37,-250.14,yaw
-67.97,-45.16,-250.14,yaw
0.51,-45.66,-250.14,yaw
3.89,-6.29,-74.86,yaw
-87.51,95.49,250.13,yaw
-14.2,27.79,250.13,yaw
-37.19,-27.5,250.13,yaw
-4.76,-115.01,250.13,yaw
27.91,-55.18,81.05,yaw
-101.01,31.14,-250.14,yaw
-167.38,35.62,-250.14,yaw
-40.79,39.8,-250.14,yaw
-5.95,6.95,-250.14,yaw
3.85,15.02,4.52,yaw
-54.41,97.7,250.13,yaw
10.02,78.45,250.13,yaw
-30.37,-25.6,250.13,yaw
7.79,-75.24,249.42,yaw
-12.21,-35.21,19.93,yaw
-105.82,91.18,-250.14,yaw
-142.44,29.04,-250.14,yaw
-12.69,-18.41,-250.14,yaw
35.87,15.24,-187.8,yaw
-8.35,45.64,112.33,yaw
-1.38,105.31,250.13,yaw
30.12,85.59,250.13,yaw
-6.86,-65.67,250.13,yaw
17.84,-57.89,126.58,yaw
-23.07,50.94,-196.3,yaw
-149.08,53.87,-250.14,yaw
-72.66,-20.01,-250.14,yaw
21.92,-20.89,-250.14,yaw
23.09,8.35,-16.92,yaw
-43.28,65.13,122.11,yaw
-50.83,109.1,250.13,yaw
26.06,54.33,250.13,yaw
11.34,-45.33,250.13,yaw
29.88,-34.31,127.02,yaw
5.08,16.09,-85.88,yaw
-141.27,-19.32,-250.14,yaw
-73.76,-50.56,-250.14,yaw
37.43,-19.29,-250.14,yaw
3.68,39.27,-33.08,yaw
-82.67,83.56,199.06,yaw
-27.79,62.79,250.13,yaw
71.05,67.18,250.13,yaw
42.18,-52.04,250.13,yaw
7.31,-12.13,46.93,yaw
-85.28,26.92,-250.14,yaw
-225.21,-76.48,-250.14,yaw
-76.49,-52.59,-250.14,yaw
-9.68,6.06,-98.83,yaw
-10.5,81.14,142.24,yaw
-40.5,118.06,250.13,yaw
-9.23,69.58,250.13,yaw
-9.68,-12.5,250.13,yaw
8.91,-52.24,177.02,yaw
5.93,-20.59,82.31,yaw
-62.66,8.49,-250.14,yaw
-67.05,-20.11,-250.14,yaw
-25.6,-12.82,-250.14,yaw
40.63,-42.66,-250.14,yaw
19.24,25.61,71.65,yaw
-73.57,84.18,250.13,yaw
-23.17,62.17,250.13,yaw
16.98,-10.66,250.13,yaw
59.88,-48.08,192.59,yaw
-38.47,-42.67,-65.66,yaw
-193.41,-57.52,-250.14,yaw
-79.65,-34.82,-250.14,yaw
31.63,9.91,-250.14,yaw
29.6,41.55,-144.1,yaw
-81.12,72.53,167.82,yaw
-33.74,77.89,250.13,yaw
59.16,39.61,250.13,yaw
55.98,52.35,250.13,yaw
-47.4,-11.05,-23.83,yaw
-187.95,-98.6,-250.14,yaw
-20.31,29.26,-250.14,yaw
87.04,59.58,-250.14,yaw
-31.28,48.53,24.82,yaw
-127.66,-58.59,250.13,yaw
64.4,-2.34,250.13,yaw
56.35,-12.76,250.13,yaw
57.78,-42.18,209.62,yaw
-75.38,37.11,-214.44,yaw
-151.56,99.38,-250.14,yaw
16.75,26.76,-250.14,yaw
45.79,-2.6,-148.9,yaw
-74.37,29.75,224.21,yaw
-0.17,-42.4,250.13,yaw
55.88,14.26,250.13,yaw
61.9,-2.08,250.13,yaw
5.92,-5.55,45.8,yaw
-141.87,-30.47,-250.14,yaw
-106.64,-36.79,-250.14,yaw
-4.05,-71.38,-250.14,yaw
12.45,10.16,27.1,yaw
-44.2,77.67,224.05,yaw
-20.98,111.5,250.13,yaw
81.67,84.1,250.13,yaw
47.12,36.96,141.85,yaw
-116.76,-84.14,-250.14,yaw
-92.31,-250.14,-250.14,yaw
0.95,-15.86,-219.73,yaw
-72.95,75.27,-184.66,yaw
0.55,101.92,250.13,yaw
65.13,77.6,250.13,yaw
168.13,-135.26,250.13,yaw
-13.97,-17.83,131.39,yaw
-38.51,43.92,-131.4,yaw
-128.8,70.79,-250.14,yaw
-69.73,-78.1,-250.14,yaw
1.54,-39.7,-77.68,yaw
-34.55,56,216.2,yaw
-36.47,56.07,250.13,yaw
-24.87,-11.02,250.13,yaw
-7.8,13.8,148.26,yaw
26.14,-34.68,12.04,yaw
-19.9,-62.29,-195.73,yaw
-144.23,-39.77,-250.14,yaw
70.03,92.02,-216.56,yaw
-10.03,13.19,-197.84,yaw
3.88,-7.69,-13.71,yaw
-0.18,26.5,219.75,yaw
18.7,27.23,250.13,yaw
-54.62,34.49,250.13,yaw
37.9,-24.19,14.44,yaw
21.93,36.89,-217.6,yaw
8.82,21.06,-250.14,yaw
-38.39,-37.68,-250.14,yaw
9.84,39.75,-130.41,yaw
27.34,-16.8,86.47,yaw
-10.16,69.79,250.13,yaw
-15.56,49.41,250.13,yaw
19.34,-101.15,249.91,yaw
57.7,11.59,140.42,yaw
-20.97,-48.64,37.51,yaw
-9.51,-160.47,-0.43,yaw
-99.74,19.08,-250.14,yaw
-42.87,111.79,-250.14,yaw
27.69,140.93,-250.14,yaw
-42.92,-8.5,-125.86,yaw
-32.55,-22.15,203.05,yaw
-12.55,7.11,250.13,yaw
20.47,61.39,230.79,yaw
-92.96,-2.56,117.56,yaw
29.21,80.23,-121.19,yaw
-2.84,-94.47,-138.05,yaw
21.63,1.62,-105.37,yaw
